id,first_name,last_name,party,contest,other,color,photo
production_Total_kcal_0_1,0,1,,production_Total_kcal,,#D01C8B,
production_Total_kcal_1_2,1,2,,production_Total_kcal,,#D747A0,
production_Total_kcal_2_5,2,5,,production_Total_kcal,,#DF73B6,
production_Total_kcal_5_10,5,10,,production_Total_kcal,,#E79FCB,
production_Total_kcal_10_20,10,20,,production_Total_kcal,,#EFCBE1,
production_Total_kcal_20_50,20,50,,production_Total_kcal,,#F7F7F7,
production_Total_kcal_50_100,50,100,,production_Total_kcal,,#D5E8CD,
production_Total_kcal_100_200,100,200,,production_Total_kcal,,#B3D9A3,
production_Total_kcal_200_500,200,500,,production_Total_kcal,,#91CA79,
production_Total_kcal_500_1000,500,1000,,production_Total_kcal,,#6FBB4F,
production_Total_kcal_1000_100000,1000,Largest,,production_Total_kcal,,#4DAC26,
Gross_Area_0_1,0,1,,Gross_Area,,#D01C8B,
Gross_Area_1_2,1,2,,Gross_Area,,#D747A0,
Gross_Area_2_5,2,5,,Gross_Area,,#DF73B6,
Gross_Area_5_10,5,10,,Gross_Area,,#E79FCB,
Gross_Area_10_20,10,20,,Gross_Area,,#EFCBE1,
Gross_Area_20_50,20,50,,Gross_Area,,#F7F7F7,
Gross_Area_50_100,50,100,,Gross_Area,,#D5E8CD,
Gross_Area_100_200,100,200,,Gross_Area,,#B3D9A3,
Gross_Area_200_500,200,500,,Gross_Area,,#91CA79,
Gross_Area_500_1000,500,1000,,Gross_Area,,#6FBB4F,
Gross_Area_1000_100000,1000,Largest,,Gross_Area,,#4DAC26,
production_Food_kcal_0_1,0,1,,production_Food_kcal,,#D01C8B,
production_Food_kcal_1_2,1,2,,production_Food_kcal,,#D747A0,
production_Food_kcal_2_5,2,5,,production_Food_kcal,,#DF73B6,
production_Food_kcal_5_10,5,10,,production_Food_kcal,,#E79FCB,
production_Food_kcal_10_20,10,20,,production_Food_kcal,,#EFCBE1,
production_Food_kcal_20_50,20,50,,production_Food_kcal,,#F7F7F7,
