vtd,aarea_1,barea_1_2,carea_2_5,darea_5_10,earea_10_20,farea_20_50,garea_50_100,harea_100_200,iarea_200_500,jarea_500_1000,karea_1000,atotal_1,btotal_1_2,ctotal_2_5,dtotal_5_10,etotal_10_20,ftotal_20_50,gtotal_50_100,htotal_100_200,itotal_200_500,jtotal_500_1000,ktotal_1000,afood_1,bfood_1_2,cfood_2_5,dfood_5_10,efood_10_20,ffood_20_50,gfood_50_100,hfood_100_200,ifood_200_500,jfood_500_1000,kfood_1000
ALB,699158.9223,719340.9223,706833.179,599141.4741,482428.7433,36259,68100,,,,,69825187.62,131234059.5,234111860.3,55888629.85,32207618.99,255096.3336,1351665.565,,,,,42148264.05,78626160.24,142162275.9,33688276.98,19737677.41,227472.3007,429736.3343,,,,
AUT,17077690.97,9938582.715,7941235.715,6663042.715,5827100.005,6441827.424,7198367.715,10094118.84,17077690.97,17077690.97,20945778.33,0,2144155.593,17711948.67,40170259.19,231543296,1658671636,2108098716,1135344477,0,0,0,0,918725.7782,11695473.23,26891187.13,186202573,1464946451,1912977415,1023473739,0,0,0
BEL,9218113.144,7256950.846,4371578.643,4190069.172,3399914.852,3383969.493,3586764.567,4072479.425,9218113.144,9218113.144,11298262.95,0,1360421.865,22314917.73,72836141.97,288146767.7,1643839212,2402546401,2198177743,0,0,0,0,792500.0448,13436963.15,41330345.73,169966121.1,1032411597,1518397405,1377929640,0,0,0
BIH,106561.2287,97358.427,260224.721,135877.7517,50119.616,44646.09,660.928,208.346,289.506,,,206336092.4,135492030.4,406207159,170183968.9,21734113.03,96730.32467,1179325.44,817046.879,547550.766,,,120755354.6,63246694.01,183473703.8,75861325.25,9354417.128,87149.28138,1009728.015,396298.424,304126.0128,,
BRA,751100190.5,764183472.7,645278399.6,601290591.1,532390429.6,535759982.2,568741453.8,539543264,507588498.7,603204506.2,1902757585,334136400,410604129.1,929082298.5,997775416.7,1610170537,2433173400,1545006475,1510069884,2075149101,1885434048,11880259859,130849926.9,157790905.2,284219720.3,260653532.4,440269367.7,737480860.6,523569013.9,474266134.7,672563141.8,628506931.3,2192788026
BGR,2553661.482,20189486.48,2313679.482,2441807.482,2436579.482,2372290.482,2421232.482,4493520.482,20189486.48,20189486.48,30270085.03,58906684.28,0,85356412.59,100470622.4,137562915.9,321874572,358133651.7,7137992626,0,0,0,33832614.38,0,51808293.15,61760877.2,84017146.4,197659910.1,220066231.8,4331991744,0,0,0
BFA,41087.69826,236703.9648,1113149.681,1547915.957,1682557.684,2705783.731,1599686.949,1587185.463,1763591.541,483964.3741,6131575.092,36962821.9,94436492.97,397736840.4,521143812.4,473024864.2,776307823.2,525330960.7,298788351.5,272726935.3,80472524.91,1451535359,19787149.44,50554284.07,212918762.5,278981689.3,253222378.4,415577548.4,281223177.4,159949090.9,145997744.4,43079012.75,777044218.6
KHM,61554187.43,66741446.78,69893467.42,65237073.86,41622284.78,28126923.44,3615572,6584406,3180281,,,1142270.428,1901947.346,3871817.336,4830624.594,3269173.757,2205533.281,150530.1111,121464.9524,206697.9492,,,743593.4016,1237718.049,2518865.628,3130690.565,2248181.988,1434512.023,97906.88909,78997.50859,134055.2117,,
COL,179134953.7,219913854.6,,186261243.7,189288083.5,179262896.6,145257231.5,103404965.7,62747694.15,38468375.93,452449161.6,62339097.51,206691516.8,,228565376.1,274435435.6,343139422.4,212521010.7,160082575,164075122.3,110982965,288737272.3,39771080.65,140845865.6,,157759115.6,191468147.3,239021828.9,153088838.5,120376397.3,125855944.6,74599034.69,221593171.7
CRI,32689.81938,9589.3,33237.1,35390.8,35509.3,42487.1,20778.9,232231,588241.5655,588241.5655,634350.5655,1107250.881,3111300.33,14502177.24,22012640.75,23361274.73,29050756.34,24286465.53,433094116,0,0,0,871927.4625,2464801.531,11560377.65,18252047.96,19494891.03,24508390.19,20803595.43,367966273.4,0,0,0
